Nome,Categoria,Endereço,Telefone,Website,Nota Google,Total Avaliações,Oportunidades,URL Google Maps,Evidência,Momento da Coleta
"Petshop - Petlove Sorocaba","Pet Shop","Petshop - Petlove Sorocaba - Av. Moreira César, 267 - Centro, Sorocaba - SP, 18010-010","3003-7190","https://www.petlove.com.br/","4.8","66","Perfil estruturado","https://www.google.com/maps/place/Petshop+-+Petlove+Sorocaba/data=!4m7!3m6!1s0x94c58b484133c2f3:0xbf7f72fbb33d8673!8m2!3d-23.5043165!4d-47.4656349!16s%2Fg%2F11ytqwbnrp!19sChIJ88IzQUiLxZQRc4Y9s_tyf78?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1","Coleta pública Google Maps","2026-09-23T18:17:56.541Z"
"Petz Sorocaba","Pet Shop","Petz Sorocaba - Av. Dom Aguirre, 2121 - Jardim Santa Rosália, Sorocaba - SP, 18035-095","(15) 3331-8400","https://www.petz.com.br/loja/petz-sorocaba","4.4","4808","Nota baixa (<4.5)","https://www.google.com/maps/place/Petz+Sorocaba/data=!4m7!3m6!1s0x94cf601c61566db7:0xb12decdca7372216!8m2!3d-23.4920327!4d-47.445033!16s%2Fg%2F1pv60x45r!19sChIJt21WYRxgz5QRFiI3p9zsLbE?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1","Coleta pública Google Maps","2026-09-23T18:17:56.541Z"
"Agro Animal em Sorocaba","Pet Shop","Agro Animal em Sorocaba - Av. Ipanema, 2610 - Jardim Planalto, Sorocaba - SP, 18070-631","(15) 99164-0110","https://www.agroanimalsorocaba.com.br/","4.7","733","Perfil estruturado","https://www.google.com/maps/place/Agro+Animal+em+Sorocaba/data=!4m7!3m6!1s0x94c5f4e032a5e005:0x29df2b77c2c047c0!8m2!3d-23.4726428!4d-47.4888648!16s%2Fg%2F1trvmjwv!19sChIJBeClMuD0xZQRwEfAwncr3yk?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1","Coleta pública Google Maps","2026-09-23T18:17:56.541Z"
"Pet Mendes - Alto da Boa Vista - Pet Shop Sorocaba","Pet Shop","Pet Mendes - Alto da Boa Vista - Pet Shop Sorocaba - Av. Eng. Carlos Reinaldo Mendes, 3062 - Alto da Boa Vista, Sorocaba - SP, 18013-280","(15) 99751-4458","https://www.petmendes.com.br/","4.9","66","Perfil estruturado","https://www.google.com/maps/place/Pet+Mendes+-+Alto+da+Boa+Vista+-+Pet+Shop+Sorocaba/data=!4m7!3m6!1s0x94cf616074c6bfdb:0x22b1c637166a47d8!8m2!3d-23.4771504!4d-47.4215665!16s%2Fg%2F11whm1rfn8!19sChIJ27_GdGBhz5QR2EdqFjfGsSI?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1","Coleta pública Google Maps","2026-09-23T18:17:56.541Z"
"Pet Shop Bem Locão","Pet Shop","Pet Shop Bem Locão - Av. Gen. Carneiro, 131 - Vila Lucy, Sorocaba - SP, 18043-000","(15) 3202-7360","https://www.bemlocaopet.com.br/","4.7","668","Perfil estruturado","https://www.google.com/maps/place/Pet+Shop+Bem+Loc%C3%A3o/data=!4m7!3m6!1s0x94c58ac095ffe52b:0x8ed3b955f55b4758!8m2!3d-23.503656!4d-47.4695356!16s%2Fg%2F11c5481q1c!19sChIJK-X_lcCKxZQRWEdb9VW5044?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1","Coleta pública Google Maps","2026-09-23T18:17:56.541Z"
"Cobasi Itavuvu - Sorocaba","Loja de suprimentos para animais de estimação","Cobasi Itavuvu - Sorocaba - Gleba 3B :No.1892 Gleba 3A, Av. Itavuvu, 1878 - Jardim Maria Antônia Prado, Sorocaba - SP, 18076-005","(15) 2391-0346","https://www.cobasi.com.br/","4.6","3952","Perfil estruturado","https://www.google.com/maps/place/Cobasi+Itavuvu+-+Sorocaba/data=!4m7!3m6!1s0x94c5f51772813ac1:0x9550e97ccaea3bcd!8m2!3d-23.4683119!4d-47.477379!16s%2Fg%2F11b6mm6w20!19sChIJwTqBchf1xZQRzTvqynzpUJU?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1","Coleta pública Google Maps","2026-09-23T18:17:56.541Z"
"Agroverde Sorocaba","Pet Shop","Agroverde Sorocaba - R. Comendador Oetterer, 1699 - Vila Carvalho, Sorocaba - SP, 18060-070","(15) 3333-2560","http://www.agroverdesr.com.br/","4.6","3821","Perfil estruturado","https://www.google.com/maps/place/Agroverde+Sorocaba/data=!4m7!3m6!1s0x94c5f54a9185b1d5:0x9e6cafa1489fadbb!8m2!3d-23.4859627!4d-47.4674472!16s%2Fg%2F1tpc91w9!19sChIJ1bGFkUr1xZQRu62fSKGvbJ4?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1","Coleta pública Google Maps","2026-09-23T18:17:56.541Z"
"Caninos Pet Shop | Banho e Tosa, Hotel, Creche para Cães | Sorocaba","Pet Shop","Caninos Pet Shop | Banho e Tosa, Hotel, Creche para Cães | Sorocaba - Rua Fernando Silva, 226 - Jardim Astro, Sorocaba - SP, 18017-158","(15) 98800-0892","https://www.instagram.com/petcaninos/","4.8","311","Perfil estruturado","https://www.google.com/maps/place/Caninos+Pet+Shop+%7C+Banho+e+Tosa,+Hotel,+Creche+para+C%C3%A3es+%7C+Sorocaba/data=!4m7!3m6!1s0x94cf60f7adba7aa9:0x360ebb8f487f224e!8m2!3d-23.493859!4d-47.407883!16s%2Fg%2F11bxb9xh19!19sChIJqXq6rfdgz5QRTiJ_SI-7DjY?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1","Coleta pública Google Maps","2026-09-23T18:17:56.541Z"
"Pet Mendes - João Leme - Pet Shop Sorocaba","Pet Shop","Pet Mendes - João Leme - Pet Shop Sorocaba - Rod. João Leme dos Santos, 680 - Terras de São Francisco, Sorocaba - SP, 18119-001","(15) 99847-0817","https://www.petmendes.com.br/","4.8","203","Perfil estruturado","https://www.google.com/maps/place/Pet+Mendes+-+Jo%C3%A3o+Leme+-+Pet+Shop+Sorocaba/data=!4m7!3m6!1s0x94c58b605ae1dc7b:0x1545c97e21d76554!8m2!3d-23.5433591!4d-47.4850497!16s%2Fg%2F11t2b4c27z!19sChIJe9zhWmCLxZQRVGXXIX7JRRU?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1","Coleta pública Google Maps","2026-09-23T18:17:56.541Z"
"Casa do Pet Sorocaba / Pet Ouro Verde","Pet Shop","Casa do Pet Sorocaba / Pet Ouro Verde - R. Sandro Antônio Mendes, 74 - Parque Vitoria Regia, Sorocaba - SP, 18078-538","(15) 3226-7153","Não localizado","4.4","124","Sem website; Nota baixa (<4.5); Cadastro incompleto","https://www.google.com/maps/place/Casa+do+Pet+Sorocaba+%2F+Pet+Ouro+Verde/data=!4m7!3m6!1s0x94c5f596c7546283:0x1a19c5dd08e3a463!8m2!3d-23.4327519!4d-47.4674356!16s%2Fg%2F11g2_m3l6c!19sChIJg2JUx5b1xZQRY6TjCN3FGRo?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1","Coleta pública Google Maps","2026-09-23T18:17:56.541Z"
